,VideoID,Attention,Mediation,Delta,Theta,Alpha1,Alpha2,Beta1,Beta2,Gamma1,Gamma2,age,gender
7535,8.0,41.0,57.0,334974.0,217304.0,50575.0,25593.0,30133.0,17242.0,5699.0,8048.0,24,1
6081,7.0,27.0,54.0,532615.0,81014.0,97717.0,40857.0,54535.0,30767.0,26026.0,17327.0,24,1
8012,2.0,0.0,0.0,71331.0,19708.0,9177.0,14929.0,7192.0,136023.0,90282.0,47756.0,24,1
7907,1.0,0.0,0.0,62570.0,62992.0,3488.0,25906.0,33622.0,75962.0,100815.0,18551.0,24,1
535,3.0,48.0,35.0,475410.0,503386.0,13752.0,5472.0,30775.0,65009.0,40936.0,15349.0,25,1
10079,8.0,56.0,38.0,312049.0,48770.0,23301.0,1929.0,7633.0,57222.0,25699.0,9945.0,25,1
292,2.0,44.0,77.0,168730.0,54384.0,60865.0,9487.0,10014.0,32975.0,41092.0,26739.0,25,1
2836,1.0,70.0,61.0,18104.0,17645.0,9199.0,5142.0,2399.0,9783.0,3342.0,2269.0,31,1
8059,2.0,0.0,0.0,2155782.0,292145.0,204996.0,164644.0,177961.0,848508.0,1182249.0,1348117.0,24,1
12422,6.0,53.0,50.0,462873.0,92435.0,32980.0,18544.0,7232.0,29413.0,7457.0,2719.0,24,0
9891,6.0,51.0,53.0,2962784.0,241829.0,39932.0,36076.0,15858.0,58358.0,17578.0,8701.0,25,1
2870,2.0,66.0,90.0,6418.0,3526.0,650.0,7717.0,3289.0,5636.0,2413.0,1943.0,31,1
5617,3.0,53.0,35.0,285157.0,299869.0,45611.0,22466.0,38969.0,45911.0,33859.0,5688.0,24,1
5032,9.0,21.0,51.0,1941019.0,603671.0,30597.0,43160.0,24217.0,23316.0,11054.0,3287.0,28,0
12124,4.0,70.0,60.0,574906.0,143741.0,104731.0,127664.0,17464.0,105112.0,56172.0,13735.0,24,0
9023,0.0,27.0,44.0,221643.0,13342.0,4630.0,1168.0,8525.0,5923.0,3760.0,2467.0,25,1
5225,0.0,48.0,61.0,423152.0,26492.0,20167.0,13103.0,30129.0,16473.0,25885.0,8594.0,24,1
6069,6.0,44.0,1.0,191490.0,190500.0,23056.0,8917.0,5094.0,9344.0,13711.0,10369.0,24,1
7417,7.0,70.0,54.0,92087.0,19811.0,1281.0,3520.0,2352.0,2411.0,1717.0,330.0,24,1
5902,5.0,48.0,88.0,3331.0,7286.0,5879.0,4118.0,3931.0,2425.0,4249.0,3211.0,24,1
1318,0.0,63.0,78.0,159407.0,32442.0,2761.0,10337.0,6611.0,4493.0,1125.0,1083.0,24,1
2730,1.0,53.0,70.0,6822.0,10510.0,4799.0,9163.0,2748.0,5381.0,3961.0,1870.0,31,1
4710,6.0,34.0,16.0,1288190.0,94855.0,7712.0,8318.0,12696.0,11908.0,3312.0,1126.0,28,0
4605,5.0,47.0,56.0,319578.0,38636.0,7110.0,9273.0,8309.0,9826.0,4656.0,1429.0,28,0
6440,9.0,74.0,48.0,382783.0,8502.0,737.0,1245.0,4348.0,1875.0,611.0,579.0,24,1
9646,4.0,70.0,69.0,12179.0,31810.0,5597.0,10143.0,31093.0,32039.0,10437.0,11496.0,25,1
7459,7.0,47.0,67.0,1130242.0,226454.0,50444.0,117130.0,31477.0,32920.0,44748.0,5695.0,24,1
11166,6.0,61.0,41.0,686889.0,125123.0,10877.0,14914.0,5718.0,12702.0,5929.0,2946.0,25,1
6862,2.0,23.0,53.0,657981.0,221591.0,7062.0,44650.0,25672.0,10503.0,22867.0,3773.0,24,1
12752,9.0,51.0,54.0,274878.0,23118.0,2979.0,9910.0,1892.0,42692.0,1652.0,494.0,24,0
7481,8.0,56.0,30.0,1371957.0,239816.0,19101.0,20066.0,21158.0,15492.0,9136.0,1277.0,24,1
11679,0.0,14.0,44.0,474241.0,63899.0,18212.0,26808.0,28172.0,9887.0,28633.0,1161.0,24,0
2546,9.0,54.0,81.0,237398.0,134267.0,67958.0,21995.0,6171.0,18233.0,22152.0,7283.0,24,1
2228,7.0,26.0,47.0,113656.0,59558.0,24320.0,3741.0,5704.0,2942.0,748.0,705.0,24,1
6083,7.0,29.0,50.0,582963.0,75488.0,10643.0,3727.0,9060.0,7632.0,5612.0,4468.0,24,1
8159,3.0,0.0,0.0,1581733.0,373707.0,73331.0,192164.0,117286.0,72090.0,109813.0,132099.0,24,1
11319,8.0,27.0,16.0,783692.0,310414.0,139660.0,74741.0,35306.0,131462.0,21475.0,3693.0,25,1
5431,1.0,29.0,27.0,11133.0,7791.0,337.0,5715.0,4431.0,12704.0,3884.0,5183.0,24,1
3284,5.0,97.0,83.0,124829.0,27215.0,16660.0,5659.0,15504.0,19208.0,5945.0,4174.0,31,1
12018,3.0,37.0,74.0,1464681.0,27612.0,70021.0,33270.0,17727.0,19369.0,15387.0,1883.0,24,0
4532,5.0,64.0,40.0,195259.0,83207.0,8351.0,4651.0,22933.0,11960.0,9481.0,10501.0,28,0
8313,4.0,0.0,0.0,344388.0,62876.0,21003.0,16888.0,46425.0,488111.0,606815.0,50872.0,24,1
7039,4.0,66.0,66.0,226279.0,37814.0,21154.0,13444.0,18539.0,21527.0,8139.0,483.0,24,1
3728,9.0,37.0,53.0,9835.0,28080.0,9275.0,2427.0,4513.0,3315.0,1841.0,1308.0,31,1
356,2.0,47.0,57.0,292138.0,90269.0,68571.0,13573.0,48713.0,54098.0,16629.0,7757.0,25,1
12723,9.0,44.0,38.0,118329.0,141279.0,60716.0,1592.0,5242.0,9747.0,3192.0,1539.0,24,0
9564,4.0,54.0,57.0,8208.0,40214.0,2453.0,4013.0,3318.0,3566.0,1771.0,3224.0,25,1
11021,5.0,35.0,54.0,436722.0,122500.0,50577.0,9886.0,13976.0,18233.0,11396.0,4842.0,25,1
5239,0.0,44.0,60.0,5885.0,8143.0,11335.0,2871.0,5227.0,4587.0,12107.0,6887.0,24,1
10663,2.0,47.0,35.0,134343.0,58156.0,11934.0,1353.0,9090.0,4718.0,1416.0,1156.0,25,1
8962,9.0,0.0,0.0,1093363.0,280180.0,106427.0,298468.0,83639.0,200441.0,53617.0,54293.0,24,1
837,6.0,24.0,50.0,345727.0,59497.0,32520.0,4562.0,7404.0,12191.0,17428.0,3670.0,25,1
8975,9.0,0.0,0.0,793652.0,602848.0,151613.0,111774.0,42042.0,78420.0,84302.0,72880.0,24,1
266,1.0,56.0,69.0,317402.0,61957.0,69160.0,17657.0,36534.0,27393.0,70578.0,6240.0,25,1
7301,6.0,44.0,63.0,688520.0,271226.0,105956.0,34502.0,46912.0,14476.0,22487.0,3446.0,24,1
8236,3.0,0.0,0.0,1449788.0,160001.0,99902.0,292264.0,319204.0,765808.0,448278.0,181740.0,24,1
2006,5.0,74.0,83.0,109883.0,5536.0,1131.0,6580.0,5900.0,1908.0,1815.0,1593.0,24,1
8730,7.0,0.0,0.0,384416.0,223534.0,25294.0,9886.0,13193.0,21154.0,23731.0,9769.0,24,1
5028,9.0,14.0,41.0,1449184.0,619173.0,60265.0,12641.0,52038.0,53414.0,18220.0,6588.0,28,0
9282,2.0,53.0,35.0,710188.0,70582.0,15013.0,14262.0,8852.0,70824.0,62650.0,7576.0,25,1
2362,8.0,47.0,66.0,200123.0,29092.0,7303.0,4262.0,10295.0,1127.0,1460.0,1386.0,24,1
5058,9.0,16.0,35.0,634626.0,330856.0,102614.0,68691.0,63600.0,16095.0,11464.0,6737.0,28,0
8510,6.0,0.0,0.0,1563680.0,352604.0,41299.0,128247.0,41289.0,140396.0,254635.0,79496.0,24,1
5453,2.0,53.0,56.0,315329.0,313417.0,88358.0,58248.0,44725.0,67233.0,22491.0,19517.0,24,1
10539,1.0,64.0,75.0,867926.0,48359.0,15548.0,10808.0,17596.0,5434.0,11208.0,4189.0,25,1
9364,2.0,50.0,61.0,170041.0,49364.0,15666.0,4906.0,1838.0,7784.0,4132.0,3557.0,25,1
9663,5.0,14.0,41.0,862798.0,55442.0,12636.0,12143.0,5427.0,5552.0,2451.0,3092.0,25,1
511,3.0,50.0,63.0,1782793.0,26670.0,12328.0,5196.0,1687.0,28432.0,11663.0,6838.0,25,1
2899,2.0,66.0,63.0,4940.0,13136.0,15645.0,5863.0,3418.0,4616.0,3702.0,2044.0,31,1
1890,4.0,38.0,69.0,27396.0,8463.0,9638.0,17022.0,3734.0,4042.0,1484.0,2791.0,24,1
3465,7.0,53.0,74.0,33799.0,15361.0,2929.0,3809.0,2801.0,18900.0,8551.0,5724.0,31,1
826,6.0,37.0,35.0,566596.0,301970.0,66198.0,12896.0,42868.0,59180.0,79870.0,61101.0,25,1
8330,4.0,0.0,0.0,522900.0,87605.0,852.0,20543.0,39821.0,268712.0,525508.0,89767.0,24,1
157,1.0,29.0,63.0,288236.0,121.0,25.0,317.0,694.0,519.0,214.0,81.0,25,1
7028,4.0,47.0,64.0,292072.0,58969.0,29517.0,15194.0,25112.0,8858.0,8215.0,2322.0,24,1
127,0.0,17.0,60.0,93861.0,54928.0,24251.0,6985.0,3551.0,13126.0,9308.0,2973.0,25,1
6110,7.0,29.0,38.0,394155.0,680690.0,57278.0,40265.0,35860.0,24857.0,20542.0,11153.0,24,1
3184,4.0,75.0,50.0,8213.0,8805.0,5747.0,3549.0,8501.0,11043.0,7383.0,13003.0,31,1
1441,1.0,43.0,38.0,69696.0,18638.0,6298.0,16823.0,14719.0,7350.0,2372.0,1994.0,24,1
6188,7.0,40.0,54.0,106459.0,10460.0,11260.0,6388.0,16452.0,6086.0,7682.0,6861.0,24,1
6205,8.0,24.0,64.0,10046.0,10507.0,6918.0,17523.0,11283.0,2233.0,4648.0,3597.0,24,1
7578,8.0,47.0,60.0,989935.0,165769.0,22962.0,22597.0,11716.0,15148.0,7804.0,2420.0,24,1
11609,0.0,34.0,64.0,88946.0,26871.0,4200.0,4806.0,2934.0,12773.0,3518.0,384.0,24,0
2748,1.0,47.0,67.0,31192.0,13315.0,6095.0,13250.0,17894.0,4526.0,2324.0,1778.0,31,1
8583,6.0,0.0,0.0,1134557.0,33798.0,3708.0,43367.0,37310.0,234700.0,139245.0,91730.0,24,1
5785,4.0,90.0,78.0,8035.0,10303.0,7722.0,4434.0,4878.0,5957.0,4625.0,2897.0,24,1
4215,2.0,66.0,35.0,2328923.0,192588.0,5942.0,12734.0,16346.0,23405.0,11085.0,5701.0,28,0
9020,0.0,40.0,57.0,339022.0,333636.0,49839.0,57552.0,14670.0,43484.0,36063.0,15328.0,25,1
12530,7.0,26.0,38.0,1061341.0,46656.0,36954.0,9331.0,14412.0,14178.0,6539.0,662.0,24,0
9569,4.0,27.0,53.0,994078.0,89783.0,9765.0,16725.0,3046.0,18641.0,15778.0,6901.0,25,1
6259,8.0,23.0,21.0,87350.0,56198.0,2402.0,944.0,3956.0,4205.0,4264.0,3712.0,24,1
3061,3.0,50.0,63.0,2670.0,15897.0,5608.0,2106.0,23068.0,4748.0,2312.0,1117.0,31,1
10200,9.0,56.0,80.0,28134.0,13277.0,30299.0,8295.0,11307.0,28624.0,10607.0,10168.0,25,1
10072,8.0,57.0,35.0,1216.0,7568.0,4542.0,4376.0,18882.0,28385.0,10840.0,14298.0,25,1
6392,9.0,40.0,50.0,128718.0,213309.0,14665.0,3104.0,14639.0,21971.0,7313.0,7227.0,24,1
10721,3.0,56.0,51.0,616191.0,407018.0,20493.0,61576.0,33199.0,41344.0,11355.0,10639.0,25,1
1057,8.0,13.0,47.0,184338.0,322604.0,51600.0,61020.0,16434.0,22768.0,91963.0,15281.0,25,1
1963,5.0,54.0,51.0,223208.0,125358.0,30121.0,42487.0,22038.0,16622.0,4084.0,16600.0,24,1
3125,4.0,60.0,88.0,18133.0,7265.0,8030.0,23900.0,5709.0,18052.0,15099.0,10039.0,31,1
7503,8.0,44.0,43.0,590389.0,176959.0,34792.0,56793.0,13817.0,13184.0,14881.0,2619.0,24,1
8021,2.0,0.0,0.0,155325.0,137214.0,23362.0,6873.0,17415.0,36874.0,25725.0,10376.0,24,1
1127,8.0,53.0,54.0,263362.0,92942.0,1370.0,13570.0,5830.0,27243.0,9796.0,7241.0,25,1
10717,3.0,51.0,56.0,396840.0,76739.0,55120.0,10594.0,19544.0,12874.0,15900.0,8090.0,25,1
10096,8.0,37.0,50.0,2155011.0,517260.0,112739.0,5857.0,15186.0,55178.0,43114.0,30129.0,25,1
11445,9.0,26.0,24.0,1629004.0,240354.0,26364.0,24204.0,38292.0,13837.0,8164.0,4609.0,25,1
4779,7.0,60.0,67.0,635960.0,281536.0,16256.0,25757.0,34951.0,24238.0,26947.0,9724.0,28,0
9668,5.0,20.0,30.0,1184057.0,651453.0,93116.0,86138.0,40922.0,38375.0,10316.0,18197.0,25,1
10807,4.0,43.0,63.0,718265.0,191085.0,57067.0,24940.0,49983.0,29023.0,5011.0,5024.0,25,1
1543,2.0,11.0,91.0,2075558.0,946864.0,185030.0,147924.0,72597.0,34379.0,24856.0,10698.0,24,1
3263,5.0,70.0,94.0,9778.0,23749.0,3889.0,10623.0,3555.0,4231.0,2097.0,2278.0,31,1
6824,2.0,43.0,57.0,646846.0,356707.0,62846.0,19576.0,26012.0,18762.0,10215.0,5251.0,24,1
8348,4.0,0.0,0.0,51769.0,116467.0,31758.0,7157.0,19039.0,37659.0,39535.0,14017.0,24,1
2268,7.0,29.0,61.0,570842.0,37649.0,14438.0,6430.0,6868.0,4307.0,7673.0,3559.0,24,1
6145,7.0,64.0,63.0,462367.0,41719.0,25143.0,27660.0,24645.0,21764.0,10180.0,5145.0,24,1
5147,9.0,34.0,4.0,902815.0,116270.0,17147.0,8376.0,6179.0,8123.0,2214.0,1496.0,28,0
6491,0.0,63.0,26.0,1158338.0,143859.0,13686.0,6853.0,4577.0,16371.0,6020.0,946.0,24,1
132,0.0,23.0,54.0,1850490.0,256988.0,80487.0,73274.0,65090.0,81129.0,37915.0,19027.0,25,1
7773,0.0,0.0,0.0,20283.0,72236.0,1743.0,3321.0,9358.0,7124.0,4593.0,2042.0,24,1
12165,4.0,53.0,40.0,536428.0,64159.0,36947.0,7881.0,10859.0,105255.0,5002.0,1583.0,24,0
603,4.0,75.0,35.0,1317485.0,129615.0,21131.0,3673.0,18913.0,53957.0,96600.0,31684.0,25,1
6030,6.0,66.0,43.0,5012.0,12389.0,6338.0,4057.0,3939.0,9491.0,5933.0,5494.0,24,1
6935,3.0,14.0,48.0,689333.0,397078.0,51753.0,43767.0,21842.0,15807.0,24344.0,3578.0,24,1
393,2.0,43.0,37.0,544260.0,163218.0,23952.0,19120.0,4693.0,45154.0,142868.0,27578.0,25,1
11715,1.0,70.0,27.0,203938.0,36337.0,21192.0,33013.0,4642.0,23268.0,4009.0,959.0,24,0
7317,6.0,27.0,74.0,1108964.0,127953.0,78846.0,88202.0,28227.0,15547.0,17575.0,4083.0,24,1
9856,6.0,74.0,43.0,5817.0,9711.0,5460.0,7059.0,4088.0,19642.0,8425.0,10480.0,25,1
3928,0.0,38.0,83.0,1394145.0,29088.0,20135.0,13701.0,9190.0,12172.0,10693.0,961.0,28,0
8810,8.0,0.0,0.0,1397785.0,178865.0,91362.0,130799.0,97149.0,112023.0,54144.0,60489.0,24,1
6071,7.0,35.0,43.0,995786.0,443740.0,208851.0,61948.0,19970.0,27115.0,36345.0,25031.0,24,1
11100,6.0,41.0,26.0,1571787.0,135820.0,19399.0,31774.0,12187.0,12585.0,21780.0,4364.0,25,1
6022,6.0,1.0,34.0,84217.0,323915.0,75489.0,40588.0,35395.0,7434.0,8036.0,7809.0,24,1
2277,7.0,64.0,91.0,397484.0,14188.0,20283.0,17368.0,54072.0,14116.0,7255.0,3114.0,24,1
9673,5.0,21.0,66.0,716668.0,38583.0,20560.0,12812.0,11504.0,8606.0,6309.0,8333.0,25,1
3234,5.0,29.0,44.0,1653467.0,753302.0,321668.0,32611.0,64750.0,24500.0,54438.0,101376.0,31,1
7475,8.0,51.0,66.0,532266.0,257745.0,54198.0,22296.0,17911.0,24691.0,9171.0,4500.0,24,1
12440,6.0,29.0,48.0,3572493.0,602444.0,88444.0,61187.0,36230.0,23454.0,23893.0,8081.0,24,0
11283,7.0,37.0,60.0,426241.0,62561.0,96208.0,61902.0,25722.0,18698.0,10541.0,10280.0,25,1
4900,8.0,67.0,69.0,180865.0,192653.0,23528.0,11198.0,11719.0,8551.0,9796.0,6665.0,28,0
401,2.0,51.0,27.0,235474.0,35439.0,4362.0,1824.0,1926.0,3961.0,3172.0,1090.0,25,1
4351,3.0,0.0,0.0,45015.0,7164.0,2351.0,980.0,1520.0,25266.0,519.0,84.0,28,0
7150,5.0,63.0,56.0,1189805.0,613371.0,85645.0,283512.0,358430.0,80749.0,57236.0,17993.0,24,1
9068,0.0,43.0,35.0,722992.0,84221.0,32968.0,21061.0,14366.0,33302.0,23571.0,31050.0,25,1
9820,6.0,74.0,67.0,159934.0,94280.0,33681.0,23322.0,8883.0,32391.0,11867.0,5250.0,25,1
3403,6.0,41.0,57.0,123646.0,54905.0,6178.0,8618.0,4289.0,7410.0,2100.0,2582.0,31,1
8046,2.0,0.0,0.0,291842.0,233641.0,37463.0,37889.0,24141.0,247249.0,181047.0,59532.0,24,1
3883,0.0,40.0,37.0,1410571.0,154478.0,86231.0,108377.0,31007.0,61342.0,66358.0,3741.0,28,0
4617,5.0,50.0,50.0,1138607.0,224970.0,14627.0,20288.0,27704.0,10599.0,11412.0,5979.0,28,0
7885,1.0,0.0,0.0,121022.0,34649.0,20155.0,12708.0,7895.0,156480.0,76292.0,34064.0,24,1
4602,5.0,30.0,63.0,394575.0,182640.0,28555.0,33203.0,8421.0,6606.0,2742.0,1302.0,28,0
8069,2.0,0.0,0.0,460471.0,154367.0,42665.0,12536.0,13959.0,171413.0,148208.0,17617.0,24,1
9609,4.0,63.0,61.0,812469.0,13474.0,6050.0,3377.0,3058.0,8310.0,4647.0,2656.0,25,1
2423,8.0,41.0,44.0,31183.0,16790.0,4677.0,8457.0,18304.0,3678.0,3089.0,3965.0,24,1
9750,5.0,24.0,56.0,573880.0,249295.0,45751.0,29215.0,8244.0,14060.0,18048.0,15509.0,25,1
12634,8.0,44.0,51.0,695344.0,161383.0,53665.0,7294.0,32206.0,22050.0,36598.0,9593.0,24,0
6162,7.0,24.0,48.0,427047.0,20287.0,6976.0,3517.0,1837.0,1387.0,2225.0,840.0,24,1
5677,3.0,53.0,64.0,27447.0,27651.0,3548.0,6173.0,3707.0,8811.0,5101.0,4025.0,24,1
10056,8.0,75.0,34.0,209140.0,37894.0,8587.0,18267.0,14984.0,61711.0,29477.0,13964.0,25,1
12245,5.0,66.0,14.0,602523.0,203743.0,31034.0,18468.0,14961.0,16010.0,26173.0,12511.0,24,0
9904,7.0,34.0,35.0,1249644.0,239029.0,15775.0,32417.0,18472.0,33510.0,67390.0,21651.0,25,1
11075,6.0,27.0,60.0,680961.0,94983.0,20616.0,39459.0,10702.0,6762.0,3070.0,7146.0,25,1
11896,2.0,48.0,54.0,306030.0,124466.0,23469.0,17237.0,10239.0,11558.0,12381.0,1680.0,24,0
809,6.0,29.0,30.0,1002174.0,251019.0,24356.0,4628.0,8085.0,34077.0,48014.0,4769.0,25,1
9423,3.0,17.0,63.0,895861.0,375775.0,79695.0,74240.0,31066.0,16484.0,15357.0,12724.0,25,1
2650,0.0,66.0,77.0,11014.0,9421.0,8724.0,11739.0,5083.0,6228.0,1837.0,1111.0,31,1
6399,9.0,53.0,75.0,14822.0,3085.0,4020.0,12017.0,6410.0,11649.0,10308.0,8493.0,24,1
12689,9.0,51.0,38.0,715551.0,29209.0,5463.0,5612.0,3721.0,3732.0,8720.0,553.0,24,0
9971,7.0,11.0,70.0,469522.0,87242.0,43562.0,14019.0,17991.0,17156.0,11296.0,5628.0,25,1
9384,2.0,61.0,41.0,4328.0,28169.0,23811.0,9146.0,18022.0,30894.0,9845.0,9072.0,25,1
3620,8.0,56.0,78.0,24476.0,14191.0,23094.0,6560.0,4445.0,15621.0,4459.0,12136.0,31,1
1702,3.0,20.0,38.0,129794.0,164416.0,10790.0,14051.0,5138.0,19945.0,5025.0,1534.0,24,1
5957,6.0,30.0,44.0,38704.0,46779.0,13714.0,18214.0,15882.0,11496.0,8331.0,6185.0,24,1
4829,7.0,43.0,35.0,1971885.0,566171.0,26221.0,15829.0,26102.0,10368.0,11097.0,4781.0,28,0
3650,8.0,20.0,44.0,5210.0,13793.0,16926.0,12657.0,4259.0,7922.0,6697.0,817.0,31,1
5609,3.0,70.0,27.0,2220.0,7165.0,4419.0,4792.0,7674.0,28384.0,16400.0,12564.0,24,1
12300,5.0,56.0,37.0,1115288.0,516650.0,4051.0,18716.0,21102.0,60000.0,35806.0,14192.0,24,0
5620,3.0,56.0,44.0,4880.0,5935.0,10653.0,6766.0,5182.0,7809.0,3107.0,4349.0,24,1
11664,0.0,44.0,83.0,2164864.0,200461.0,93030.0,170781.0,10054.0,160832.0,56970.0,7042.0,24,0
3370,6.0,56.0,67.0,3346.0,10146.0,3580.0,6688.0,34749.0,9316.0,2717.0,1087.0,31,1
12028,3.0,50.0,77.0,1465448.0,180106.0,179543.0,63012.0,27651.0,113950.0,56368.0,5590.0,24,0
4606,5.0,44.0,51.0,1597491.0,418371.0,37960.0,36763.0,24473.0,10824.0,23936.0,5917.0,28,0
12467,7.0,43.0,50.0,702313.0,41500.0,48287.0,28941.0,6304.0,6588.0,6720.0,2217.0,24,0
7677,9.0,41.0,57.0,334461.0,341262.0,138855.0,31285.0,34435.0,34593.0,7251.0,4877.0,24,1
9544,4.0,51.0,48.0,296171.0,6448.0,47458.0,22772.0,13330.0,33012.0,20264.0,16657.0,25,1
6107,7.0,23.0,51.0,1380684.0,298507.0,107640.0,35225.0,18269.0,39193.0,60202.0,22503.0,24,1
8005,2.0,0.0,0.0,2483452.0,910729.0,8428.0,87750.0,102443.0,59272.0,32434.0,35875.0,24,1
8720,7.0,0.0,0.0,358464.0,76538.0,11237.0,28736.0,6426.0,84068.0,50116.0,20578.0,24,1
7211,5.0,48.0,61.0,701890.0,48912.0,10997.0,1957.0,8482.0,4675.0,2213.0,1446.0,24,1
664,5.0,0.0,0.0,281282.0,90754.0,13144.0,35149.0,12708.0,13133.0,16597.0,8321.0,25,1
8844,8.0,0.0,0.0,1126751.0,223535.0,54210.0,195407.0,160308.0,51900.0,103381.0,69090.0,24,1
9059,0.0,61.0,34.0,1381030.0,96327.0,39988.0,21663.0,13744.0,32295.0,37726.0,18398.0,25,1
7794,0.0,0.0,0.0,709604.0,492211.0,184625.0,85281.0,34990.0,191677.0,78942.0,50337.0,24,1
3347,5.0,56.0,61.0,16593.0,10689.0,2997.0,11483.0,12938.0,6410.0,8958.0,4097.0,31,1
1568,2.0,50.0,57.0,1076391.0,253462.0,82729.0,30424.0,40054.0,27896.0,9722.0,6737.0,24,1
462,3.0,70.0,41.0,192092.0,18154.0,1781.0,2633.0,2135.0,41822.0,3562.0,2715.0,25,1
743,5.0,37.0,37.0,323128.0,129528.0,34862.0,38506.0,18382.0,29940.0,27340.0,9252.0,25,1
222,1.0,30.0,37.0,99011.0,52648.0,20434.0,6968.0,8641.0,8499.0,8244.0,4347.0,25,1
10597,2.0,90.0,37.0,292566.0,109419.0,27085.0,21524.0,14290.0,15022.0,8425.0,5718.0,25,1
3994,1.0,66.0,48.0,318502.0,226982.0,16387.0,13412.0,41180.0,15874.0,7836.0,4100.0,28,0
11441,9.0,43.0,57.0,2385480.0,808955.0,340991.0,211100.0,133335.0,209669.0,55680.0,49064.0,25,1
625,4.0,74.0,70.0,5859.0,78974.0,10513.0,51577.0,14643.0,90007.0,30290.0,11447.0,25,1
9112,0.0,54.0,43.0,270155.0,112675.0,44576.0,9146.0,25549.0,76041.0,25576.0,20403.0,25,1
9021,0.0,29.0,44.0,195897.0,140205.0,8237.0,4416.0,10505.0,12805.0,6977.0,10730.0,25,1
10255,9.0,51.0,57.0,25902.0,39182.0,6039.0,28697.0,37202.0,22347.0,21722.0,9789.0,25,1
7132,5.0,27.0,48.0,1364101.0,1624625.0,257132.0,147870.0,78228.0,66405.0,30157.0,21348.0,24,1
8040,2.0,0.0,0.0,51132.0,43817.0,4738.0,17268.0,18880.0,183314.0,49351.0,22957.0,24,1
6733,1.0,50.0,66.0,268967.0,44407.0,6285.0,6768.0,6244.0,3178.0,3057.0,1209.0,24,1
456,3.0,57.0,41.0,67492.0,15171.0,703.0,1058.0,873.0,7738.0,6274.0,1596.0,25,1
10278,0.0,40.0,23.0,1402966.0,455738.0,11940.0,27381.0,54854.0,34873.0,37196.0,34042.0,25,1
7528,8.0,40.0,66.0,914138.0,172881.0,79536.0,31417.0,4081.0,13767.0,11686.0,1993.0,24,1
2621,0.0,64.0,63.0,13528.0,14185.0,6063.0,5198.0,2463.0,6001.0,2380.0,2871.0,31,1
5802,4.0,87.0,70.0,5594.0,8081.0,1581.0,2204.0,3080.0,8409.0,2277.0,4640.0,24,1
8701,7.0,0.0,0.0,11384.0,52891.0,1265.0,3326.0,13416.0,4400.0,1932.0,3348.0,24,1
7924,1.0,0.0,0.0,506026.0,115331.0,13433.0,17970.0,10066.0,167627.0,129114.0,48101.0,24,1
11976,3.0,53.0,63.0,775655.0,478227.0,307857.0,55536.0,168576.0,70179.0,40269.0,28792.0,24,0
1760,3.0,1.0,11.0,1121967.0,405846.0,42789.0,8993.0,23136.0,4328.0,9682.0,2689.0,24,1
842,6.0,10.0,13.0,368635.0,1635021.0,47126.0,16855.0,49506.0,49706.0,37038.0,34999.0,25,1
11644,0.0,7.0,30.0,160818.0,80646.0,17766.0,20315.0,21114.0,13247.0,13355.0,2078.0,24,0
10869,4.0,16.0,37.0,396506.0,244219.0,21129.0,7521.0,17173.0,7528.0,2642.0,3069.0,25,1
7364,7.0,61.0,63.0,581344.0,67847.0,26933.0,18331.0,13645.0,6666.0,10162.0,773.0,24,1
2902,2.0,66.0,67.0,9856.0,14168.0,3694.0,5701.0,3601.0,9043.0,4888.0,1811.0,31,1
8538,6.0,0.0,0.0,734271.0,861941.0,33112.0,37194.0,184744.0,162511.0,115181.0,63251.0,24,1
12279,5.0,64.0,63.0,1169868.0,83501.0,90283.0,15873.0,6491.0,71160.0,93773.0,22963.0,24,0
9368,2.0,64.0,17.0,6737.0,11003.0,6250.0,4616.0,11688.0,23911.0,33516.0,7290.0,25,1
10723,3.0,74.0,60.0,2017817.0,99653.0,41109.0,2753.0,16301.0,58046.0,6985.0,11208.0,25,1
5381,1.0,53.0,41.0,465583.0,374638.0,147366.0,15622.0,31552.0,31059.0,13128.0,25097.0,24,1
11615,0.0,47.0,41.0,72701.0,117097.0,5648.0,47085.0,12475.0,19894.0,9975.0,1999.0,24,0
7205,5.0,63.0,75.0,998602.0,118791.0,4870.0,153619.0,5251.0,29820.0,13100.0,2925.0,24,1
6061,6.0,40.0,48.0,138506.0,57976.0,18536.0,17527.0,7143.0,16783.0,12013.0,12301.0,24,1
3431,6.0,51.0,48.0,369296.0,73899.0,19487.0,6235.0,5137.0,4805.0,845.0,646.0,31,1
12065,3.0,16.0,75.0,1796196.0,204776.0,225264.0,259485.0,17043.0,83107.0,45142.0,6691.0,24,0
12247,5.0,69.0,1.0,485033.0,95356.0,14431.0,6553.0,13714.0,20131.0,17995.0,7501.0,24,0
11154,6.0,48.0,40.0,142725.0,291230.0,9303.0,18105.0,36100.0,13371.0,18825.0,7683.0,25,1
5046,9.0,27.0,53.0,657760.0,226086.0,48937.0,20812.0,9773.0,40815.0,15430.0,8551.0,28,0
12339,6.0,27.0,60.0,770756.0,158684.0,8600.0,29384.0,4505.0,17964.0,5468.0,1337.0,24,0
8406,5.0,0.0,0.0,7830.0,6579.0,2819.0,4290.0,6014.0,39431.0,6373.0,4716.0,24,1
5306,1.0,17.0,40.0,684987.0,93199.0,17345.0,17109.0,6245.0,6510.0,4378.0,5269.0,24,1
